Sequence,Domain,Family,Species
Human papillomavirus type 6 complete genome isolate 74,ViralFamilies,Papillomaviridae,Alphapapillomavirus 10
Human papillomavirus type 6 complete genome isolate 42,ViralFamilies,Papillomaviridae,Alphapapillomavirus 10
Human papillomavirus type 6 complete genome isolate 47,ViralFamilies,Papillomaviridae,Alphapapillomavirus 10
Human papillomavirus type 6 complete genome isolate 37,ViralFamilies,Papillomaviridae,Alphapapillomavirus 10
Human papillomavirus type 6 complete genome isolate 100,ViralFamilies,Papillomaviridae,Alphapapillomavirus 10
Anaerococcus hydrogenalis DSM 7454 draft (52 frags),BacteriaFamilies,Clostridiales Family XI. Incertae Sedis,Anaerococcus hydrogenalis
Anaerococcus hydrogenalis DSM 7454 draft (52 frags),BacteriaFamilies,Clostridiales Family XI. Incertae Sedis,Anaerococcus hydrogenalis
Anaerococcus sp. ph10 Anaerococcus obesiensis ph10 draft (32 frags),BacteriaFamilies,Clostridiales Family XI. Incertae Sedis,Anaerococcus obesiensis
Anaerococcus sp. PH9 draft (93 frags),BacteriaFamilies,Clostridiales Family XI. Incertae Sedis,Anaerococcus vaginalis
Anaeroglobus geminatus F0357 draft (103 frags),BacteriaFamilies,Veillonellaceae,Anaeroglobus geminatus
Anaeroglobus geminatus F0357 draft (103 frags),BacteriaFamilies,Veillonellaceae,Anaeroglobus geminatus
Anaerostipes caccae DSM 14662 draft (39 frags),BacteriaFamilies,Lachnospiraceae,Anaerostipes caccae
Anaerostipes caccae DSM 14662 draft (39 frags),BacteriaFamilies,Lachnospiraceae,Anaerostipes caccae
Eubacterium hadrum DSM 3319 Anaerostipes hadrus DSM 3319 draft (102 frags),BacteriaFamilies,Lachnospiraceae,Anaerostipes hadrus
Lactobacillus kunkeei EFB6 draft (55 frags),BacteriaFamilies,Lactobacillaceae,Apilactobacillus kunkeei
Atopobium minutum 10063974 draft (3 frags),BacteriaFamilies,Coriobacteriaceae,Atopobium minutum
Atopobium sp. oral taxon 810 str. F0209 draft (69 frags),BacteriaFamilies,Coriobacteriaceae,Atopobium sp. oral taxon 810
Avian gyrovirus 2,ViralFamilies,Circoviridae,Avian gyrovirus 2
Avian gyrovirus 2,ViralFamilies,Circoviridae,Avian gyrovirus 2
Avian gyrovirus 2 strain G17,ViralFamilies,Circoviridae,Avian gyrovirus 2
Avibacterium paragallinarum JF4211 draft (34 frags),BacteriaFamilies,Pasteurellaceae,Avibacterium paragallinarum
Azotobacter vinelandii DJ chromosome,BacteriaFamilies,Pseudomonadaceae,Azotobacter vinelandii
Bacteroides acidifaciens JCM 10556 draft (265 frags),BacteriaFamilies,Bacteroidaceae,Bacteroides acidifaciens
Bacteroides coprosuis DSM 18011 chromosome,BacteriaFamilies,Bacteroidaceae,Bacteroides coprosuis
Bacteroides coprosuis DSM 18011 draft (2 frags),BacteriaFamilies,Bacteroidaceae,Bacteroides coprosuis
Bacteroides eggerthii DSM 20697 draft (70 frags),BacteriaFamilies,Bacteroidaceae,Bacteroides eggerthii
Bacteroides eggerthii 1_2_48FAA draft (85 frags),BacteriaFamilies,Bacteroidaceae,Bacteroides eggerthii
Bacteroides eggerthii 1_2_48FAA draft (28 frags),BacteriaFamilies,Bacteroidaceae,Bacteroides eggerthii
Bacteroides eggerthii 1_2_48FAA draft (85 frags),BacteriaFamilies,Bacteroidaceae,Bacteroides eggerthii
Bacteroides eggerthii DSM 20697 draft (70 frags),BacteriaFamilies,Bacteroidaceae,Bacteroides eggerthii
Bacteroides faecis MAJ27 draft (53 frags),BacteriaFamilies,Bacteroidaceae,Bacteroides faecis
Bacteroides faecis MAJ27 draft (53 frags),BacteriaFamilies,Bacteroidaceae,Bacteroides faecis
Bacteroides thetaiotaomicron CL09T03C10 Bacteroides finegoldii CL09T03C10 draft (16 frags),BacteriaFamilies,Bacteroidaceae,Bacteroides finegoldii
Bacteroides thetaiotaomicron CL09T03C10 Bacteroides finegoldii CL09T03C10 draft (16 frags),BacteriaFamilies,Bacteroidaceae,Bacteroides finegoldii
Bacteroides fragilis YCH46 plasmid pBFY46 ,BacteriaFamilies,Bacteroidaceae,Bacteroides fragilis
Bacteroides fragilis HMW 616 draft (25 frags),BacteriaFamilies,Bacteroidaceae,Bacteroides fragilis
Bacteroides fragilis CL07T12C05 draft (35 frags),BacteriaFamilies,Bacteroidaceae,Bacteroides fragilis
Bacteroides fragilis CL03T12C07 draft (35 frags),BacteriaFamilies,Bacteroidaceae,Bacteroides fragilis
Bacteroides fragilis CL05T00C42 draft (12 frags),BacteriaFamilies,Bacteroidaceae,Bacteroides fragilis
Bacteroides fragilis YCH46 chromosome,BacteriaFamilies,Bacteroidaceae,Bacteroides fragilis
Bacteroides fragilis str. S6R5 draft (80 frags),BacteriaFamilies,Bacteroidaceae,Bacteroides fragilis
Bacteroides fragilis str. S38L5 draft (83 frags),BacteriaFamilies,Bacteroidaceae,Bacteroides fragilis
Bacteroides fragilis str. S36L12 draft (90 frags),BacteriaFamilies,Bacteroidaceae,Bacteroides fragilis
Bacteroides fragilis str. S23L24 draft (122 frags),BacteriaFamilies,Bacteroidaceae,Bacteroides fragilis
Bacteroides fragilis str. 1009-4-F #10 draft (63 frags),BacteriaFamilies,Bacteroidaceae,Bacteroides fragilis
Bacteroides fragilis str. S6L3 draft (119 frags),BacteriaFamilies,Bacteroidaceae,Bacteroides fragilis
Bacteroides fragilis str. S23 R14 draft (263 frags),BacteriaFamilies,Bacteroidaceae,Bacteroides fragilis
Bacteroides fragilis str. B1 (UDC16-1) draft (311 frags),BacteriaFamilies,Bacteroidaceae,Bacteroides fragilis
Bacteroides fragilis str. 1007-1-F #4 draft (168 frags),BacteriaFamilies,Bacteroidaceae,Bacteroides fragilis
Bacteroides fragilis str. 3976T7 draft (447 frags),BacteriaFamilies,Bacteroidaceae,Bacteroides fragilis
Bacteroides fragilis str. 2-F-2# 5 Bacteroides fragilis str. 2-F-2 #5 draft (250 frags),BacteriaFamilies,Bacteroidaceae,Bacteroides fragilis
Bacteroides fragilis str. 1007-1-F #8 draft (315 frags),BacteriaFamilies,Bacteroidaceae,Bacteroides fragilis
Bacteroides fragilis str. S6R8 draft (134 frags),BacteriaFamilies,Bacteroidaceae,Bacteroides fragilis
Bacteroides fragilis str. 3725 D9 (ii) Bacteroides fragilis str. 3725 D9 ii draft (91 frags),BacteriaFamilies,Bacteroidaceae,Bacteroides fragilis
Bacteroides graminisolvens JCM 15093 draft (63 frags),BacteriaFamilies,Bacteroidaceae,Bacteroides graminisolvens
Bacteroidaceae bacterium MS4 draft (35 frags),BacteriaFamilies,Bacteroidaceae,Bacteroides neonati
Bacteroides nordii CL02T12C05 draft (35 frags),BacteriaFamilies,Bacteroidaceae,Bacteroides nordii
Bacteroides ovatus ATCC 8483 draft (54 frags),BacteriaFamilies,Bacteroidaceae,Bacteroides ovatus
Bacteroides ovatus 3_8_47FAA draft (42 frags),BacteriaFamilies,Bacteroidaceae,Bacteroides ovatus
Bacteroides ovatus 3_8_47FAA draft (42 frags),BacteriaFamilies,Bacteroidaceae,Bacteroides ovatus
Bacteroides ovatus ATCC 8483 draft (54 frags),BacteriaFamilies,Bacteroidaceae,Bacteroides ovatus
Bacteroides pyogenes F0041 draft (186 frags),BacteriaFamilies,Bacteroidaceae,Bacteroides pyogenes
Bacteroides sp. 1_1_30 draft (171 frags),BacteriaFamilies,Bacteroidaceae,Bacteroides sp. 1_1_30
Bacteroides sp. 1_1_30 draft (171 frags),BacteriaFamilies,Bacteroidaceae,Bacteroides sp. 1_1_30
Bacteroides sp. 2_2_4 draft (204 frags),BacteriaFamilies,Bacteroidaceae,Bacteroides sp. 2_2_4
Bacteroides sp. 3_1_19 draft (85 frags),BacteriaFamilies,Bacteroidaceae,Bacteroides sp. 3_1_19
Bacteroides sp. 3_1_23 draft (87 frags),BacteriaFamilies,Bacteroidaceae,Bacteroides sp. 3_1_23
Bacteroides sp. 3_1_40A draft (186 frags),BacteriaFamilies,Bacteroidaceae,Bacteroides sp. 3_1_40A
Bacteroides sp. 3_1_40A draft (186 frags),BacteriaFamilies,Bacteroidaceae,Bacteroides sp. 3_1_40A
Bacteroides sp. D20 draft (62 frags),BacteriaFamilies,Bacteroidaceae,Bacteroides sp. D20
Bacteroides uniformis ATCC 8492 draft (49 frags),BacteriaFamilies,Bacteroidaceae,Bacteroides uniformis
Bacteroides uniformis ATCC 8492 draft (49 frags),BacteriaFamilies,Bacteroidaceae,Bacteroides uniformis
Bacteroides ovatus 3941 Bacteroides ovatus SD CC 2a draft (305 frags),BacteriaFamilies,Bacteroidaceae,Bacteroides xylanisolvens
Bacteroides ovatus 3941 Bacteroides ovatus SD CC 2a draft (305 frags),BacteriaFamilies,Bacteroidaceae,Bacteroides xylanisolvens
Bibersteinia trehalosi USDA-ARS-USMARC-188,BacteriaFamilies,Pasteurellaceae,Bibersteinia trehalosi
Bifidobacterium adolescentis L2-32 draft (74 frags),BacteriaFamilies,Bifidobacteriaceae,Bifidobacterium adolescentis
Bifidobacterium adolescentis L2-32 draft (74 frags),BacteriaFamilies,Bifidobacteriaceae,Bifidobacterium adolescentis
Bifidobacterium animalis subsp. animalis strain LMG 10508 draft (13 frags),BacteriaFamilies,Bifidobacteriaceae,Bifidobacterium animalis
Bifidobacterium bifidum NCIMB 41171 draft (33 frags),BacteriaFamilies,Bifidobacteriaceae,Bifidobacterium bifidum
Bifidobacterium bifidum IPLA 20015 draft (571 frags),BacteriaFamilies,Bifidobacteriaceae,Bifidobacterium bifidum
Bifidobacterium breve JCP7499 draft (96 frags),BacteriaFamilies,Bifidobacteriaceae,Bifidobacterium breve
Bifidobacterium breve DSM 20213 = JCM 1192 strain DSM 20213 draft (117 frags),BacteriaFamilies,Bifidobacteriaceae,Bifidobacterium breve
Bifidobacterium breve S27,BacteriaFamilies,Bifidobacteriaceae,Bifidobacterium breve
Bifidobacterium coryneforme strain LMG18911,BacteriaFamilies,Bifidobacteriaceae,Bifidobacterium coryneforme
Bifidobacterium cuniculi strain LMG 10738 draft (41 frags),BacteriaFamilies,Bifidobacteriaceae,Bifidobacterium cuniculi
Bifidobacterium gallicum DSM 20093 draft (27 frags),BacteriaFamilies,Bifidobacteriaceae,Bifidobacterium gallicum
Bifidobacterium gallicum DSM 20093 draft (27 frags),BacteriaFamilies,Bifidobacteriaceae,Bifidobacterium gallicum
Bifidobacterium sp. 12_1_47BFAA draft (86 frags),BacteriaFamilies,Bifidobacteriaceae,Bifidobacterium longum
Bifidobacterium longum DJO10A draft (120 frags),BacteriaFamilies,Bifidobacteriaceae,Bifidobacterium longum
Bifidobacterium longum subsp. longum ATCC 55813 draft (140 frags),BacteriaFamilies,Bifidobacteriaceae,Bifidobacterium longum
Bifidobacterium longum DJO10A draft (120 frags),BacteriaFamilies,Bifidobacteriaceae,Bifidobacterium longum
Bifidobacterium sp. 12_1_47BFAA draft (86 frags),BacteriaFamilies,Bifidobacteriaceae,Bifidobacterium longum
Bifidobacterium longum strain BXY01,BacteriaFamilies,Bifidobacteriaceae,Bifidobacterium longum
Bifidobacterium longum subsp. longum EK5 draft (28 frags),BacteriaFamilies,Bifidobacteriaceae,Bifidobacterium longum
Bifidobacterium magnum strain LMG 11591 draft (13 frags),BacteriaFamilies,Bifidobacteriaceae,Bifidobacterium magnum
Bifidobacterium merycicum strain LMG 11341 draft (16 frags),BacteriaFamilies,Bifidobacteriaceae,Bifidobacterium merycicum
Bifidobacterium pseudocatenulatum DSM 20438 = JCM 1200 = LMG 10505 draft (10 frags),BacteriaFamilies,Bifidobacteriaceae,Bifidobacterium pseudocatenulatum
Bifidobacterium pseudolongum AGR2145 draft (30 frags),BacteriaFamilies,Bifidobacteriaceae,Bifidobacterium pseudolongum
Bifidobacterium pseudolongum subsp. pseudolongum strain LMG 11571 draft (11 frags),BacteriaFamilies,Bifidobacteriaceae,Bifidobacterium pseudolongum
Bifidobacterium gallinarum strain LMG 11586 draft (10 frags),BacteriaFamilies,Bifidobacteriaceae,Bifidobacterium pullorum
Bifidobacterium ruminantium DSM 6489 draft (43 frags),BacteriaFamilies,Bifidobacteriaceae,Bifidobacterium ruminantium
Bifidobacterium scardovii strain LMG 21589 draft (34 frags),BacteriaFamilies,Bifidobacteriaceae,Bifidobacterium scardovii
Bifidobacterium sp. 7101 draft (16 frags),BacteriaFamilies,Bifidobacteriaceae,Bifidobacterium sp. 7101
Bifidobacterium sp. AGR2158 draft (20 frags),BacteriaFamilies,Bifidobacteriaceae,Bifidobacterium sp. AGR2158
Bifidobacterium thermophilum RBL67,BacteriaFamilies,Bifidobacteriaceae,Bifidobacterium thermophilum
Bifidobacterium thermophilum strain JCM 1207 draft (12 frags),BacteriaFamilies,Bifidobacteriaceae,Bifidobacterium thermophilum
Blautia hydrogenotrophica DSM 10507 draft (233 frags),BacteriaFamilies,Lachnospiraceae,Blautia hydrogenotrophica
Blautia hydrogenotrophica DSM 10507 draft (233 frags),BacteriaFamilies,Lachnospiraceae,Blautia hydrogenotrophica
Ruminococcus obeum ATCC 29174 draft (62 frags),BacteriaFamilies,Lachnospiraceae,Blautia obeum
Ruminococcus obeum ATCC 29174 draft (62 frags),BacteriaFamilies,Lachnospiraceae,Blautia obeum
Brenneria sp. EniD312 draft (10 frags),BacteriaFamilies,Enterobacteriaceae,Brenneria sp. EniD312
Brome mosaic virus RNA3 ,ViralFamilies,Bromoviridae,Brome mosaic virus
Brome mosaic virus mRNA for 1a protein,ViralFamilies,Bromoviridae,Brome mosaic virus
Brome mosaic virus strain BMV-CZ segment RNA2 ,ViralFamilies,Bromoviridae,Brome mosaic virus
Burkholderiales bacterium 1_1_47 draft (96 frags),Bacteria_noFamily,Burkholderiales_unknownfamily,Burkholderiales bacterium 1_1_47
Campylobacter hominis ATCC BAA-381 plasmid pCH4 ,BacteriaFamilies,Campylobacteraceae,Campylobacter hominis
Arsenophonus endosymbiont str. Hangzhou of Nilaparvata lugens strain Hangzhou draft (21 frags),BacteriaFamilies,Enterobacteriaceae,Candidatus Arsenophonus nilaparvatae
Candidatus Sodalis pierantonius str. SOPE,BacteriaFamilies,Enterobacteriaceae,Candidatus Sodalis pierantonius
Erysipelotrichaceae bacterium AP9 Candidatus Stoquefichus massiliensis AP9 draft (166 frags),BacteriaFamilies,Erysipelotrichaceae,Candidatus Stoquefichus massiliensis
Catonella morbi ATCC 51271 draft (26 frags),BacteriaFamilies,Lachnospiraceae,Catonella morbi
Chicken anemia virus attenuated isolate SMSC-1P60,ViralFamilies,Circoviridae,Chicken anemia virus
Chicken anemia virus DNA,ViralFamilies,Circoviridae,Chicken anemia virus
CAN297684 Chicken anaemia virus complete genome clone 33,ViralFamilies,Circoviridae,Chicken anemia virus
CAU66304 Chicken anemia virus cloned isolate 10,ViralFamilies,Circoviridae,Chicken anemia virus
Chicken anemia virus DNA,ViralFamilies,Circoviridae,Chicken anemia virus
Chicken anemia virus isolate SDLY08,ViralFamilies,Circoviridae,Chicken anemia virus
Chicken anemia virus isolate 98D06073,ViralFamilies,Circoviridae,Chicken anemia virus
Chicken anemia virus isolate CIAV89-69,ViralFamilies,Circoviridae,Chicken anemia virus
Chicken anemia virus isolate GD-1-12,ViralFamilies,Circoviridae,Chicken anemia virus
Chicken anemia virus isolate GXC060821,ViralFamilies,Circoviridae,Chicken anemia virus
Chicken anemia virus strain GD-N-12,ViralFamilies,Circoviridae,Chicken anemia virus
Chicken anemia virus strain GD-M-12,ViralFamilies,Circoviridae,Chicken anemia virus
Chicken anemia virus strain GD-F-12,ViralFamilies,Circoviridae,Chicken anemia virus
Chicken anemia virus strain GD-K-12,ViralFamilies,Circoviridae,Chicken anemia virus
Chicken anemia virus isolate VRDC/CAV/HR/C25/11 VP2 protein (VP2) apoptin (VP3) and capsid protein (VP1) genes complete cds,ViralFamilies,Circoviridae,Chicken anemia virus
Chicken anemia virus isolate VRDC/CAV/HR/C19/11 VP2 protein (VP2) apoptin (VP3) and capsid protein (VP1) genes complete cds,ViralFamilies,Circoviridae,Chicken anemia virus
Chicken anemia virus isolate VRDC/CAV/HR/C29/11 VP2 protein (VP2) apoptin (VP3) and capsid protein (VP1) genes complete cds,ViralFamilies,Circoviridae,Chicken anemia virus
Chicken anemia virus isolate 16 ,ViralFamilies,Circoviridae,Chicken anemia virus
Chicken anemia virus isolate 14 ,ViralFamilies,Circoviridae,Chicken anemia virus
Chicken anemia virus isolate 6 ,ViralFamilies,Circoviridae,Chicken anemia virus
Citrobacter freundii ATCC 8090 = MTCC 1658 draft (171 frags),BacteriaFamilies,Enterobacteriaceae,Citrobacter freundii
Citrobacter freundii str. ballerup 7851/39 draft (357 frags),BacteriaFamilies,Enterobacteriaceae,Citrobacter freundii
Citrobacter freundii CFNIH1,BacteriaFamilies,Enterobacteriaceae,Citrobacter freundii
Citrobacter koseri ATCC BAA-895 chromosome,BacteriaFamilies,Enterobacteriaceae,Citrobacter koseri
Citrobacter rodentium ICC168 plasmid pCROD3 ,BacteriaFamilies,Enterobacteriaceae,Citrobacter rodentium
Citrobacter rodentium ICC168 chromosome,BacteriaFamilies,Enterobacteriaceae,Citrobacter rodentium
Escherichia coli KTE30 Citrobacter sp. KTE30 draft (16 frags),BacteriaFamilies,Enterobacteriaceae,Citrobacter sp. KTE30
Citrobacter youngae ATCC 29220 draft (49 frags),BacteriaFamilies,Enterobacteriaceae,Citrobacter youngae
Citrobacter youngae ATCC 29220 draft (49 frags),BacteriaFamilies,Enterobacteriaceae,Citrobacter youngae
Clostridiales bacterium VE202-06 draft (327 frags),Bacteria_noFamily,unclassified Clostridiales_unknownfamily,Clostridiales bacterium VE202-06
Clostridiales bacterium VE202-09 draft (78 frags),Bacteria_noFamily,unclassified Clostridiales_unknownfamily,Clostridiales bacterium VE202-09
Clostridiales bacterium VE202-16 draft (353 frags),Bacteria_noFamily,unclassified Clostridiales_unknownfamily,Clostridiales bacterium VE202-16
Clostridium beijerinckii NCIMB 8052 chromosome,BacteriaFamilies,Clostridiaceae,Clostridium beijerinckii
Clostridium beijerinckii AAU1_buffalo Clostridium beijerinckii AAU1 draft (6119 frags),BacteriaFamilies,Clostridiaceae,Clostridium beijerinckii
Clostridium butyricum 5521 draft (123 frags),BacteriaFamilies,Clostridiaceae,Clostridium butyricum
Clostridium butyricum DKU-01 draft (79 frags),BacteriaFamilies,Clostridiaceae,Clostridium butyricum
Clostridium butyricum 5521 draft (123 frags),BacteriaFamilies,Clostridiaceae,Clostridium butyricum
Clostridium butyricum DORA_1 draft (224 frags),BacteriaFamilies,Clostridiaceae,Clostridium butyricum
Clostridium colicanis 209318 draft (33 frags),BacteriaFamilies,Clostridiaceae,Clostridium colicanis
Clostridium diolis DSM 15410 draft (175 frags),BacteriaFamilies,Clostridiaceae,Clostridium diolis
Clostridium sp. CL-2 draft (26 frags),BacteriaFamilies,Clostridiaceae,Clostridium jeddahitimonense
Clostridium sp. CL-2 draft (26 frags),BacteriaFamilies,Clostridiaceae,Clostridium jeddahitimonense
Clostridium perfringens B str. ATCC 3626 draft (98 frags),BacteriaFamilies,Clostridiaceae,Clostridium perfringens
Clostridium perfringens F262 chromosome,BacteriaFamilies,Clostridiaceae,Clostridium perfringens
Clostridium perfringens ATCC 13124 chromosome,BacteriaFamilies,Clostridiaceae,Clostridium perfringens
Clostridium perfringens B str. ATCC 3626 draft (98 frags),BacteriaFamilies,Clostridiaceae,Clostridium perfringens
Clostridium sp. 7_2_43FAA draft (58 frags),BacteriaFamilies,Clostridiaceae,Clostridium sp. 7_2_43FAA
Clostridium sp. 7_2_43FAA draft (58 frags),BacteriaFamilies,Clostridiaceae,Clostridium sp. 7_2_43FAA
Clostridium sp. D5 draft (171 frags),BacteriaFamilies,Clostridiaceae,Clostridium sp. D5
Collinsella aerofaciens JCM 10188 Collinsella aerofaciens ATCC 25986 draft (25 frags),BacteriaFamilies,Coriobacteriaceae,Collinsella aerofaciens
