Target Description	a483920-2391847-070525-424_A01	a174305-8347510-070525-424_A02	a592183-1029384-070525-424_A03	a381927-5647382-070525-424_A04	a849201-8374629-070525-424_A05	a720394-6583721-070525-424_A06	a483920-2391847-070525-428_A01	a174305-8347510-070525-428_A02	a592183-1029384-070525-428_A03	a381927-5647382-070525-428_A04	a849201-8374629-070525-428_A05	a720394-6583721-070525-428_A06
Actinomyces johnsonii F0510 draft (431 frags)												
Staphylococcus warneri strain NGS-ED-1001 draft (12 frags)												
Klebsiella pneumoniae IS46 draft (957 frags)												
Lactobacillus paracasei subsp. paracasei Lpp46 draft (90 frags)												
Yersinia pestis Nepal516 plasmid pPCP 												
Streptococcus thermophilus plasmid pER13 												
Escherichia coli B94 draft (57 frags)				Secondary	Secondary	Secondary		Secondary		Secondary	Secondary	Secondary
Streptococcus iniae IUSA1 draft (296 frags)				Secondary		Secondary				Secondary		Secondary
Collinsella aerofaciens JCM 10188 Collinsella aerofaciens ATCC 25986 draft (25 frags)		DETECTED					DETECTED	DETECTED	Secondary			
Escherichia coli O145:H28 str. 2009C-3292 draft (72 frags)				Secondary	Secondary	Secondary		Secondary		Secondary	Secondary	Secondary
Klebsiella oxytoca MGH 41 draft (37 frags)												
Lactobacillus johnsonii DPC 6026 chromosome												
Escherichia coli HVH 111 (4-7039018) draft (23 frags)				Secondary	Secondary	Secondary		Secondary		Secondary	Secondary	Secondary
Escherichia coli plasmid pMUR050 												
Propionibacterium acnes HL037PA3 draft (69 frags)												
Escherichia coli UMEA 3140-1 draft (68 frags)				Secondary	Secondary	Secondary		Secondary		Secondary	Secondary	Secondary
Enterococcus faecalis UAA707 Enterococcus faecium EnGen0305 draft (54 frags)												
Klebsiella pneumoniae strain MRSN6920 draft (184 frags)												
Escherichia coli 3003 draft (8 frags)				Secondary	Secondary	Secondary		Secondary		Secondary	Secondary	Secondary
Escherichia coli DEC12D draft (88 frags)				Secondary	Secondary	Secondary		Secondary		Secondary	Secondary	Secondary
Escherichia coli O5:K4(L):H4 str. ATCC 23502 draft (160 frags)				Secondary	Secondary	Secondary	Secondary	Secondary		Secondary	Secondary	Secondary
Lactococcus lactis phage p2					Secondary	Secondary					Secondary	Secondary
Brome mosaic virus mRNA for 1a protein												
Streptococcus agalactiae CCUG 39096 A draft (21 frags)												
Enterococcus faecalis B3336 draft (34 frags)												
Streptococcus pneumoniae GA47281 draft (16 frags)												
Streptococcus mutans TCI-256 draft (110 frags)												
Escherichia coli M605 draft (162 frags)				Secondary	Secondary	Secondary		Secondary		Secondary	Secondary	Secondary
Klebsiella pneumoniae BIDMC 7A draft (29 frags)												
Enterococcus faecalis B4018 draft (45 frags)												
Streptococcus agalactiae MC621 draft (45 frags)												
Enterococcus faecium Pat2-2 Enterococcus faecium EnGen0376 draft (82 frags)												
Methanobrevibacter smithii TS145B draft (54 frags)	Secondary	Secondary	Secondary				Secondary	Secondary	Secondary			
Lactococcus lactis DPC3147 plasmid pMRC01 												
Enterococcus faecium E980 draft (131 frags)												
Enterococcus faecalis RP2S-4 draft (109 frags)												
Corynebacterium striatum ATCC 6940 draft (176 frags)												
Escherichia coli O69:H11 str. 07-3763 draft (19 frags)				Secondary	Secondary	Secondary		Secondary		Secondary	Secondary	Secondary
Escherichia coli EC1847 draft (527 frags)				Secondary	Secondary	Secondary		Secondary		Secondary	Secondary	Secondary
Enterococcus faecium UAA1280 draft (50 frags)												
Escherichia coli O157:H7 str. K5806 draft (119 frags)				Secondary	Secondary	Secondary		Secondary		Secondary	Secondary	Secondary
Streptococcus equi subsp. zooepidemicus BHS5 draft (11 frags)				Secondary		Secondary				Secondary		Secondary
Proteus mirabilis HI4320 chromosome												
Enterococcus faecalis B284 draft (19 frags)												
Bacteroides fragilis str. S36L12 draft (90 frags)	Secondary	Secondary	Secondary				Secondary	Secondary	Secondary			
Propionibacterium acnes strain HL411PA1 draft (55 frags)												
Streptococcus mutans 5SM3 draft (86 frags)												
Streptococcus agalactiae LMG 15081 draft (16 frags)												
Streptococcus mutans TCI-162 draft (130 frags)												
Propionibacterium acnes HL056PA1 draft (46 frags)												
Escherichia coli O111:NM str. K6728 draft (149 frags)				Secondary	Secondary	Secondary		Secondary		Secondary	Secondary	Secondary
Lactococcus garvieae TRF1 draft (112 frags)												
Escherichia coli PA3 draft (508 frags)				Secondary	Secondary	Secondary		Secondary		Secondary	Secondary	Secondary
Escherichia coli P0304777.4 draft (142 frags)				Secondary	Secondary	Secondary		Secondary		Secondary	Secondary	Secondary
Streptococcus pyogenes GA06023 draft (420 frags)												
Salmonella enterica subsp. arizonae serovar 62:z4 z23:- str. RSK2980 chromosome												
Human papillomavirus type 6 complete genome isolate CAC231												
Enterococcus faecium V689 draft (256 frags)												
Pepino mosaic virus TGBp1 TGBp2 and TGBp3 genes genomic RNA strain US2 isolate Mu 04.18US	Secondary											
Lactococcus lactis subsp. cremoris KW2												
Escherichia coli 1-110-08_S1_C3 draft (133 frags)				Secondary	Secondary	Secondary	Secondary	Secondary		Secondary	Secondary	Secondary
Escherichia coli 2-005-03_S4_C1 draft (235 frags)				Secondary	Secondary	Secondary		Secondary		Secondary	Secondary	Secondary
Staphylococcus pasteuri SP1												
Enterococcus faecalis Pan7 draft (12 frags)												
Prevotella sp. P6B1 draft (18 frags)												
Bacteroides fragilis str. 1009-4-F #10 draft (63 frags)	Secondary	Secondary	Secondary				Secondary	Secondary	Secondary			
Cucumber green mottle mosaic virus												
Klebsiella pneumoniae BIDMC 16 draft (6 frags)												
Streptococcus agalactiae GB00111 draft (34 frags)												
Pepino mosaic virus isolate PepMV-Pa	Secondary											
Edwardsiella tarda FL6-60 chromosome												
Streptococcus dysgalactiae subsp. equisimilis 167 DNA				Secondary		Secondary				Secondary		Secondary
Veillonella parvula HSIVP1 draft (27 frags)				Secondary		Secondary				Secondary	Secondary	Secondary
Streptococcus pyogenes ABC020038544 draft (9 frags)												
Lactobacillus crispatus 214-1 draft (187 frags)												
Escherichia coli P0298942.8 draft (442 frags)				Secondary	Secondary	Secondary		Secondary		Secondary	Secondary	Secondary
Propionibacterium acnes HL103PA1 draft (14 frags)												
Streptococcus salivarius CCHSS3				Secondary	Secondary	Secondary				Secondary	Secondary	Secondary
Streptococcus agalactiae GBS12 draft (95 frags)												
Escherichia coli plasmid pEC_L8 					Secondary					Secondary	Secondary	Secondary
Actinobacillus pleuropneumoniae serovar 1 str. 4074 draft (44 frags)												
Streptococcus mutans S1B draft (132 frags)												
Bacteroides fragilis CL05T00C42 draft (12 frags)	Secondary	Secondary	Secondary		Secondary		Secondary	Secondary	Secondary		Secondary	
Klebsiella pneumoniae CHS 29 draft (28 frags)												
Escherichia coli 11117 draft (182 frags)				Secondary	Secondary	Secondary		Secondary		Secondary	Secondary	Secondary
Klebsiella pneumoniae BIDMC 7B draft (32 frags)												
Escherichia coli 1-182-04_S4_C2 draft (88 frags)				Secondary	Secondary	Secondary		Secondary		Secondary	Secondary	Secondary
Streptococcus pyogenes HKU QMH11M0907901												
Escherichia coli HVH 144 (4-4451937) draft (46 frags)				Secondary	Secondary	Secondary		Secondary		Secondary	Secondary	Secondary
Gardnerella vaginalis ATCC 14019 chromosome				Secondary	Secondary	Secondary				Secondary	Secondary	Secondary
Klebsiella pneumoniae plasmid pKP048 												
Escherichia coli 907446 draft (198 frags)				Secondary	Secondary	Secondary		Secondary		Secondary	Secondary	Secondary
Streptococcus pneumoniae GA13499 draft (18 frags)												
Atopobium sp. ICM58 draft (239 frags)												
Klebsiella pneumoniae CHS 05 draft (28 frags)												
Escherichia coli MS 79-10 draft (157 frags)				Secondary	Secondary	Secondary		Secondary		Secondary	Secondary	Secondary
Streptococcus pneumoniae GA16242 draft (12 frags)												
Eubacterium siraeum DSM 15702 draft (51 frags)	Secondary	Secondary					Secondary	Secondary				
Enterococcus faecium Patient #1-2 Enterococcus faecium EnGen0316 draft (91 frags)												
Lactococcus garvieae 8831 draft (87 frags)												
Enterococcus faecalis 2924 draft (21 frags)												
Gardnerella vaginalis 284V draft (16 frags)				Secondary	Secondary	Secondary				Secondary	Secondary	Secondary
Streptococcus agalactiae GB00097 draft (31 frags)												
Enterococcus faecalis ATCC 29200 draft (123 frags)												
Pseudomonas denitrificans ATCC 13867												
Streptococcus bovis JB1 Streptococcus equinus JB1 draft (45 frags)				Secondary		Secondary				DETECTED	Secondary	Secondary
Enterobacter radicincitans DSM 16656 draft (33 frags)					Secondary					Secondary	Secondary	Secondary
Escherichia coli C732_98 draft (256 frags)				Secondary	Secondary	Secondary		Secondary		Secondary	Secondary	Secondary
Streptococcus pyogenes ABC020052309 draft (2 frags)												
Pseudomonas aeruginosa BWHPSA024 draft (14 frags)												
Arsenophonus endosymbiont str. Hangzhou of Nilaparvata lugens strain Hangzhou draft (21 frags)					Secondary					Secondary	Secondary	
Chicken anemia virus isolate 98D06073												
Bifidobacterium bifidum NCIMB 41171 draft (33 frags)				Secondary	Secondary	Secondary				Secondary	Secondary	Secondary
Streptococcus pyogenes SSI-1 chromosome												
Escherichia coli strain E. coli draft (192 frags)				Secondary	Secondary	Secondary		Secondary		Secondary	Secondary	Secondary
Lactococcus lactis subsp. lactis plasmid pIL3 												
Enterococcus faecium PC4.1 draft (78 frags)												
Megasphaera genomosp. type_1 str. 28L draft (34 frags)												
Clostridium clostridioforme 90A1 draft (47 frags)		Secondary	Secondary	Secondary	Secondary	Secondary	Secondary		Secondary	Secondary	Secondary	Secondary
Streptococcus pyogenes ABC020064181 draft (9 frags)												
Lactococcus phage P008					Secondary	Secondary					Secondary	Secondary
Klebsiella pneumoniae KP2-R draft (131 frags)												
Streptococcus sanguinis SK353 draft (17 frags)				Secondary		Secondary				Secondary	Secondary	Secondary
Klebsiella pneumoniae CHS 63 draft (14 frags)												
Klebsiella oxytoca KOX105 plasmid pKOX105 												
Shigella flexneri Shi06GS48 draft (301 frags)				Secondary	Secondary	Secondary		Secondary		Secondary	Secondary	Secondary
Escherichia coli plasmid pLMO226 												
Escherichia coli 2-177-06_S3_C1 draft (144 frags)				Secondary	Secondary	Secondary		Secondary		Secondary	Secondary	Secondary
Methanobrevibacter smithii TS95B draft (44 frags)	Secondary	Secondary	Secondary				Secondary	Secondary	Secondary			
Haemophilus haemolyticus M19501 draft (22 frags)				Secondary						Secondary		
Escherichia coli PMV-1 plasmid pECOS88like WGS CBTO000000000 project data contig 2		Secondary		Secondary				Secondary		Secondary	Secondary	
Escherichia coli HVH 69 (4-2837072) draft (19 frags)				Secondary	Secondary	Secondary		Secondary		Secondary	Secondary	Secondary
Methanobrevibacter smithii TS95C draft (37 frags)	Secondary	Secondary	Secondary				Secondary	Secondary	Secondary			
Propionibacterium sp. 434-HC2 draft (81 frags)												
Streptococcus mutans TCI-146 draft (143 frags)												
Enterococcus faecalis B350 draft (17 frags)												
Bifidobacterium sp. 7101 draft (16 frags)				Secondary	Secondary	Secondary				Secondary	Secondary	Secondary
Hepatitis G virus gene for polyprotein complete cds												
Enterococcus faecalis TX0860 draft (88 frags)												
Enterobacter sp. MGH 7 draft (26 frags)												
Streptococcus pyogenes ABC020046264 draft (6 frags)												
Escherichia coli ATCC 25922				Secondary	Secondary	Secondary		Secondary		Secondary	Secondary	Secondary
Escherichia coli O157 str. NCCP15738 draft (415 frags)				Secondary	Secondary	Secondary		Secondary		Secondary	Secondary	Secondary
Streptococcus agalactiae MRI Z1-200 draft (22 frags)												
Staphylococcus epidermidis VCU128 draft (58 frags)												
Enterobacter cancerogenus YZ1 draft (11 frags)											Secondary	
Klebsiella pneumoniae IS33 draft (427 frags)												
Clostridium perfringens B str. ATCC 3626 draft (98 frags)												
Escherichia coli HVH 22 (4-2258986) draft (16 frags)				Secondary	Secondary	Secondary		Secondary		Secondary	Secondary	Secondary
Bacteroides sp. 3_1_40A draft (186 frags)	Secondary	DETECTED	DETECTED	Secondary	Secondary	Secondary	Secondary	Secondary	Secondary	Secondary	Secondary	Secondary
Cronobacter malonaticus 507 draft (249 frags)											Secondary	
Actinobacillus succinogenes 130Z chromosome				Secondary						Secondary		
Edwardsiella hoshinae NBRC 105699 = ATCC 33379 draft (110 frags)												
Escherichia coli E1777 draft (651 frags)				Secondary	Secondary	Secondary		Secondary		Secondary	Secondary	Secondary
Staphylococcus epidermidis VCU126 draft (80 frags)												
Klebsiella pneumoniae BIDMC 21 draft (23 frags)												
Corynebacterium sp. KPL1856 draft (13 frags)												
Klebsiella pneumoniae subsp. pneumoniae KPNIH22 draft (165 frags)												
Clostridium sp. CL-2 draft (26 frags)	Secondary					Secondary						Secondary
Escherichia coli UMEA 3172-1 draft (46 frags)				Secondary	Secondary	Secondary		Secondary		Secondary	Secondary	Secondary
Escherichia coli KTE175 draft (33 frags)				Secondary	Secondary	Secondary		Secondary		Secondary	Secondary	Secondary
Pseudomonas aeruginosa NCMG1179 draft (290 frags)												
Escherichia coli FVEC1302 draft (149 frags)				Secondary	Secondary	Secondary		Secondary		Secondary	Secondary	Secondary
Bacteroides sp. 3_1_19 draft (85 frags)	Secondary	Secondary	Secondary	Secondary	Secondary	Secondary	Secondary	Secondary	Secondary	Secondary	Secondary	Secondary
Escherichia coli 2872000 draft (202 frags)				Secondary	Secondary	Secondary		Secondary		Secondary	Secondary	Secondary
Escherichia coli 180600 draft (150 frags)				Secondary	Secondary	Secondary		Secondary		Secondary	Secondary	Secondary
Lactobacillus rhamnosus HN001 draft (94 frags)												
Pseudomonas aeruginosa BWHPSA043 draft (39 frags)												
Lactobacillus helveticus DSM 20075 plasmid pLH1 												
Streptococcus agalactiae LDS 623 draft (129 frags)												
Oscillospiraceae bacterium VE202-24 draft (357 frags)	Secondary	Secondary	Secondary	DETECTED	Secondary	Secondary	Secondary	Secondary	Secondary	DETECTED	Secondary	Secondary
Bifidobacterium sp. 12_1_47BFAA draft (86 frags)				Secondary	Secondary	Secondary				Secondary	Secondary	Secondary
Escherichia coli O157:H7 str. EC4501 draft (250 frags)				Secondary	Secondary	Secondary		Secondary		Secondary	Secondary	Secondary
Brome mosaic virus RNA3 												
Human papillomavirus type 6 complete genome isolate 82												
Clostridiales bacterium 9401234 draft (10 frags)												
Streptococcus pyogenes SP5-LAU draft (20 frags)				Secondary		Secondary				Secondary		Secondary
Escherichia coli P0298942.11 draft (205 frags)				Secondary	Secondary	Secondary		Secondary		Secondary	Secondary	Secondary
Streptococcus mitis bv. 2 str. F0392 draft (2 frags)				Secondary	Secondary	Secondary				Secondary	Secondary	Secondary
Escherichia coli FBH1 draft (141 frags)				Secondary	Secondary	Secondary		Secondary		Secondary	Secondary	Secondary
Escherichia coli KTE186 draft (72 frags)				Secondary	Secondary	Secondary		Secondary		Secondary	Secondary	Secondary
Streptococcus pneumoniae PNI0076 draft (154 frags)												
Pseudomonas aeruginosa M8A.2 draft (23 frags)												
Pseudomonas aeruginosa LCT-PA220 draft (190 frags)												
Escherichia coli B7A draft (289 frags)				Secondary	Secondary	Secondary		Secondary		Secondary	Secondary	Secondary
Escherichia coli O121:H19 str. 06-3822 draft (195 frags)				Secondary	Secondary	Secondary		Secondary		Secondary	Secondary	Secondary
Streptococcus pyogenes ABC020026799 draft (10 frags)												
Enterococcus faecium UAA825 draft (34 frags)												
Peptostreptococcus stomatis DSM 17678 draft (74 frags)												
Escherichia coli HVH 90 (4-3191362) draft (31 frags)				Secondary	Secondary	Secondary		Secondary		Secondary	Secondary	Secondary
Escherichia coli B109 draft (121 frags)				Secondary	Secondary	Secondary		Secondary		Secondary	Secondary	Secondary
Escherichia coli strain S6400 draft (130 frags)				Secondary	Secondary	Secondary		Secondary		Secondary	Secondary	Secondary
Streptococcus sanguinis SK150 draft (27 frags)				Secondary	Secondary	Secondary				Secondary	Secondary	Secondary
Pseudomonas aeruginosa JD304 draft (2058 frags)												
Escherichia coli KTE30 Citrobacter sp. KTE30 draft (16 frags)				Secondary	Secondary	Secondary		Secondary		Secondary	Secondary	Secondary
Staphylococcus warneri SG1												
Streptococcus mutans TCI-177 draft (110 frags)												
Escherichia coli O104:H4 str. 11-03943 draft (42 frags)				Secondary	Secondary	Secondary		Secondary		Secondary	Secondary	Secondary
Streptococcus pyogenes ABC020044173 draft (5 frags)												
Raoultella ornithinolytica strain TNT draft (39 frags)					Secondary					Secondary	Secondary	Secondary
Enterococcus faecalis B321 draft (11 frags)												
Streptococcus pneumoniae GA43257 draft (11 frags)												
Enterococcus faecalis 20-SD-BW-06 draft (60 frags)												
Salmonella bongori serovar 48:z41:-- str. RKS3044											Secondary	Secondary
Propionibacterium acnes HL005PA4 draft (34 frags)												
Streptococcus mutans KK21 draft (2 frags)												
Corynebacterium sp. KPL1986 draft (3 frags)												
Pseudomonas aeruginosa LCT-PA102 draft (180 frags)												
Klebsiella pneumoniae VA360 draft (210 frags)												
Staphylococcus aureus subsp. aureus IS-250 draft (66 frags)												
Staphylococcus epidermidis strain ET-024 draft (102 frags)												
Escherichia coli UMEA 3206-1 draft (48 frags)				Secondary	Secondary	Secondary		Secondary		Secondary	Secondary	Secondary
Lactobacillus acidophilus CIP 76.13 draft (55 frags)												
Klebsiella pneumoniae 30660/NJST258_1 plasmid pNJST258N3 												
Escherichia coli 5.0588 draft (31 frags)				Secondary	Secondary	Secondary		Secondary		Secondary	Secondary	Secondary
Clostridium perfringens ATCC 13124 chromosome												
Lactococcus phage ul36.t1k1												
Enterococcus faecium C68 draft (14 frags)												
Escherichia coli O157:H7 str. 2011EL-2097 draft (178 frags)				Secondary	Secondary	Secondary		Secondary		Secondary	Secondary	Secondary
Enterococcus faecium C1904 draft (247 frags)												
Escherichia coli P0305260.11 draft (128 frags)				Secondary	Secondary	Secondary	Secondary	Secondary		Secondary	Secondary	Secondary
Lactobacillus oris F0423 draft (20 frags)												
Actinomyces turicensis ACS-279-V-Col4 draft (10 frags)												
Escherichia coli P0299438.10 draft (104 frags)				Secondary	Secondary	Secondary		Secondary		Secondary	Secondary	Secondary
Escherichia coli KTE25 draft (30 frags)				Secondary	Secondary	Secondary		Secondary		Secondary	Secondary	Secondary
Propionibacterium phage P14.4												
Citrobacter rodentium ICC168 plasmid pCROD3 												
Bacteroides fragilis str. 1007-1-F #4 draft (168 frags)	Secondary	Secondary	Secondary				Secondary	Secondary	Secondary			
Enterococcus faecalis V587 draft (48 frags)												
Klebsiella pneumoniae subsp. pneumoniae KPNIH18 draft (167 frags)												
Klebsiella pneumoniae str. Kp52.145 plasmid I												
Escherichia coli HVH 196 (4-4530470) draft (20 frags)				Secondary	Secondary	Secondary		Secondary		Secondary	Secondary	Secondary
Gardnerella vaginalis 55152 draft (25 frags)				Secondary	Secondary	Secondary				Secondary	Secondary	Secondary
Escherichia coli B7A draft (289 frags)				Secondary	Secondary	Secondary		Secondary		Secondary	Secondary	Secondary
Escherichia coli O111:H11 str. CVM9545 draft (790 frags)				Secondary	Secondary	Secondary		Secondary		Secondary	Secondary	Secondary
Escherichia coli 9B draft (570 frags)				Secondary	Secondary	Secondary		Secondary		Secondary	Secondary	Secondary
Lactobacillus fermentum MTCC 8711 draft (116 frags)												
Streptococcus pneumoniae Taiwan19F-14 chromosome												
Escherichia coli 99.0670 draft (131 frags)				Secondary	Secondary	Secondary		Secondary		Secondary	Secondary	Secondary
Dickeya solani MK10 draft (41 frags)												
Klebsiella pneumoniae CHS 39 draft (31 frags)												
Streptococcus pneumoniae PNI0007 draft (162 frags)												
Escherichia coli KTE57 draft (38 frags)				Secondary	Secondary	Secondary		Secondary		Secondary	Secondary	Secondary
Prevotella scopos JCM 17725 draft (113 frags)												
Enterococcus faecalis B2255 draft (32 frags)												
Escherichia coli O157:H7 str. K5602 draft (144 frags)				Secondary	Secondary	Secondary		Secondary		Secondary	Secondary	Secondary
Streptococcus pyogenes ABC020057288 draft (4 frags)												
Streptococcus agalactiae SS1219 draft (70 frags)												
Escherichia coli E101 draft (95 frags)				Secondary	Secondary	Secondary	Secondary	Secondary		Secondary	Secondary	Secondary
Lactobacillus iners LactinV 03V1-b draft (67 frags)												
Escherichia coli BCE008_MS-13 draft (32 frags)				Secondary	Secondary	Secondary		Secondary		Secondary	Secondary	Secondary
Escherichia coli 2-316-03_S3_C1 draft (151 frags)				Secondary	Secondary	Secondary	Secondary	Secondary		Secondary	Secondary	Secondary
Escherichia coli 99.0713 draft (121 frags)				Secondary	Secondary	Secondary		Secondary		Secondary	Secondary	Secondary
Coprococcus eutactus ATCC 27759 draft (32 frags)	Secondary	Secondary	Secondary	Secondary	Secondary	DETECTED	Secondary	Secondary	Secondary	Secondary	Secondary	Secondary
Escherichia coli HVH 103 (4-5904188) draft (48 frags)				Secondary	Secondary	Secondary		Secondary		Secondary	Secondary	Secondary
Pseudomonas aeruginosa RB draft (102 frags)												
Escherichia coli 1-250-04_S3_C1 draft (203 frags)				Secondary	Secondary	Secondary		Secondary		Secondary	Secondary	Secondary
Enterococcus sp. GMD4E draft (99 frags)												
Haemophilus sp. FF7 draft (46 frags)				Secondary						Secondary		
Streptococcus pyogenes ABC020047635 draft (7 frags)												
Haemophilus parasuis 29775 Haemophilus parasuis 29755 draft (96 frags)												
Enterococcus faecium TX0082 draft (151 frags)												
Lactobacillus paracasei subsp. paracasei Lpp226 draft (131 frags)												
Paraprevotella clara YIT 11840 draft (231 frags)	Secondary	Secondary	Secondary				Secondary	Secondary	Secondary			
Staphylococcus sp. E463 draft (118 frags)												
Pseudomonas aeruginosa MH27 draft (31 frags)												
Escherichia coli UMEA 3899-1 draft (102 frags)				Secondary	Secondary	Secondary		Secondary		Secondary	Secondary	Secondary
Escherichia coli CHS 77 draft (32 frags)				Secondary	Secondary	Secondary		Secondary		Secondary	Secondary	Secondary
Mycoplasma hyosynoviae strain NPL6 draft (53 frags)												
Enterococcus faecium E0120 draft (42 frags)												
Lactobacillus iners LEAF 2062A-h1 draft (24 frags)												
Human papillomavirus type 6 complete genome isolate 42												
Prevotella sp. oral taxon 306 str. F0472 draft (74 frags)												
Escherichia coli 2-222-05_S1_C1 draft (108 frags)				Secondary	Secondary	Secondary		Secondary		Secondary	Secondary	Secondary
Pectobacterium atrosepticum strain 21A												
Lactobacillus fermentum NB-22 draft (190 frags)												
Streptococcus mutans M230 draft (139 frags)												
Streptococcus pyogenes strain Lacen4 draft (50 frags)												
Cronobacter sakazakii Sp291					Secondary					Secondary	Secondary	Secondary
Enterococcus faecalis 79-3 draft (19 frags)												
Streptococcus mutans TCI-145 draft (99 frags)												
Escherichia coli MS 146-1 draft (355 frags)				Secondary	Secondary	Secondary	Secondary	Secondary		Secondary	Secondary	Secondary
Escherichia coli O153:H2 str. 2010C-5034 draft (251 frags)				Secondary	Secondary	Secondary		Secondary		Secondary	Secondary	Secondary
Propionibacterium phage P9.1												
Streptococcus mutans T4 draft (113 frags)												
Escherichia coli HVH 89 (4-5885604) draft (32 frags)				Secondary	Secondary	Secondary		Secondary		Secondary	Secondary	Secondary
Prevotella sp. FD3004 draft (16 frags)												
Enterobacter aerogenes UCI 16 draft (16 frags)					Secondary					Secondary	Secondary	Secondary
Enterococcus faecium Pat2-1 Enterococcus faecium EnGen0375 draft (17 frags)												
Escherichia coli KTE148 draft (144 frags)				Secondary	Secondary	Secondary		Secondary		Secondary	Secondary	Secondary
Tobacco mosaic virus isolate Xunyang					Secondary							
Pectobacterium atrosepticum SCRI1043 chromosome												
Escherichia coli B799 draft (78 frags)				Secondary	Secondary	Secondary		Secondary		Secondary	Secondary	Secondary
Streptococcus pneumoniae PT8114 draft (423 frags)												
Escherichia coli HVH 28 (4-0907367) draft (35 frags)				Secondary	Secondary	Secondary		Secondary		Secondary	Secondary	Secondary
Pseudomonas luteola XLDN4-9 draft (231 frags)												
Pseudomonas aeruginosa CF77 draft (24 frags)												
Escherichia coli TOP550-4 draft (120 frags)				Secondary	Secondary	Secondary		Secondary		Secondary	Secondary	Secondary
Lactobacillus casei 32G draft (42 frags)												
Enterococcus faecium LA4B-2 draft (106 frags)												
Klebsiella pneumoniae CHS 59 draft (29 frags)												
Enterococcus faecalis TX4248 draft (112 frags)												
Pseudomonas stutzeri ATCC 17588 = LMG 11199 chromosome												
Streptococcus ratti FA-1 = DSM 20564 draft (182 frags)				Secondary	Secondary	Secondary				Secondary	Secondary	Secondary
Enterococcus faecalis TX0031 draft (60 frags)												
Actinomyces dentalis DSM 19115 draft (97 frags)												
[Bacteroides] pectinophilus ATCC 43243 Bacteroides pectinophilus ATCC 43243 draft (37 frags)		Secondary						Secondary				
Escherichia coli EC4402 draft (785 frags)				Secondary	Secondary	Secondary		Secondary		Secondary	Secondary	Secondary
Escherichia coli P0305260.7 draft (132 frags)				Secondary	Secondary	Secondary	Secondary	Secondary		Secondary	Secondary	Secondary
Escherichia coli O26:H1 str. 2011C-3270 Escherichia coli O26:H11 str. 2011C-3270 draft (289 frags)				Secondary	Secondary	Secondary		Secondary		Secondary	Secondary	Secondary
Streptococcus agalactiae SGBS001 draft (23 frags)												
Escherichia coli plasmid pRAx 												
